text,label
믿었던 후배에게 실망해서 마음이 아프다.,Sadness
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
함께 영화 감상을(를) 즐기는 시간이 정말 소중하고 사랑스러워.,Love
아무리 노력해도 안 되는 것 같아서 자존감이 떨어져.,Sadness
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
이해가 안 가는 상황 때문에 머리가 복잡하고 화가 난다.,Anger
믿었던 후배에게 실망해서 마음이 아프다.,Sadness
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
날씨 좋은 날 카페에서 요리을(를) 하니 스트레스가 풀린다.,Happiness
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
믿었던 후배에게 실망해서 마음이 아프다.,Sadness
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
내 의견이 계속 무시당하는 것 같아서 짜증나.,Anger
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
계속되는 야근과 업무 압박에 지쳐서 화가 치밀어 올라.,Anger
연인의 무책임한 태도 때문에 정말 화가 나.,Anger
드디어 보고서 작성를 끝내서 기분이 날아갈 것 같아!,Happiness
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
연인의 무책임한 태도 때문에 정말 화가 나.,Anger
오늘따라 너무 외롭고 우울한 기분이 들어.,Sadness
왜 나한테만 이런 일이 생기는지 모르겠어. 너무 억울해.,Anger
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
왜 나한테만 이런 일이 생기는지 모르겠어. 너무 억울해.,Anger
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
믿었던 후배에게 실망해서 마음이 아프다.,Sadness
함께 영화 감상을(를) 즐기는 시간이 정말 소중하고 사랑스러워.,Love
이번에 새로 시작한 일이 잘 풀려서 너무 기쁘다.,Happiness
날씨 좋은 날 카페에서 요리을(를) 하니 스트레스가 풀린다.,Happiness
열심히 준비한 발표 준비가 잘 안돼서 너무 속상해.,Sadness
오랜만에 만난 친구랑 수다 떠니 시간 가는 줄 몰랐네. 정말 즐거웠어.,Happiness
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
선배와(과) 함께한 산책은(는) 아주 멋진 경험이었어.,Happiness
아무리 노력해도 안 되는 것 같아서 자존감이 떨어져.,Sadness
드디어 보고서 작성를 끝내서 기분이 날아갈 것 같아!,Happiness
너와 함께라면 뭐든지 할 수 있을 것 같은 용기가 생겨.,Love
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
이해가 안 가는 상황 때문에 머리가 복잡하고 화가 난다.,Anger
하루 종일 발표 준비에 시달렸더니 스트레스가 폭발할 지경이야.,Anger
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
아무리 노력해도 안 되는 것 같아서 자존감이 떨어져.,Sadness
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
왜 나한테만 이런 일이 생기는지 모르겠어. 너무 억울해.,Anger
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
믿었던 후배에게 실망해서 마음이 아프다.,Sadness
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
계속되는 야근과 업무 압박에 지쳐서 화가 치밀어 올라.,Anger
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
오늘 파스타 먹었는데 진짜 맛있어서 행복했다.,Happiness
선배와(과) 함께한 산책은(는) 아주 멋진 경험이었어.,Happiness
왜 나한테만 이런 일이 생기는지 모르겠어. 너무 억울해.,Anger
오늘 파스타 먹었는데 진짜 맛있어서 행복했다.,Happiness
오늘따라 너무 외롭고 우울한 기분이 들어.,Sadness
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
내 의견이 계속 무시당하는 것 같아서 짜증나.,Anger
회사에서 어이없는 일을 당해서 기분이 나빠.,Anger
내 의견이 계속 무시당하는 것 같아서 짜증나.,Anger
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
이번에 새로 시작한 일이 잘 풀려서 너무 기쁘다.,Happiness
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
날씨 좋은 날 카페에서 요리을(를) 하니 스트레스가 풀린다.,Happiness
이해가 안 가는 상황 때문에 머리가 복잡하고 화가 난다.,Anger
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
오늘따라 너무 외롭고 우울한 기분이 들어.,Sadness
날씨 좋은 날 카페에서 요리을(를) 하니 스트레스가 풀린다.,Happiness
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
연인의 무책임한 태도 때문에 정말 화가 나.,Anger
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
믿었던 후배에게 실망해서 마음이 아프다.,Sadness
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
오늘따라 너무 외롭고 우울한 기분이 들어.,Sadness
오랜만에 만난 친구랑 수다 떠니 시간 가는 줄 몰랐네. 정말 즐거웠어.,Happiness
믿었던 후배에게 실망해서 마음이 아프다.,Sadness
오랜만에 만난 친구랑 수다 떠니 시간 가는 줄 몰랐네. 정말 즐거웠어.,Happiness
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
계속되는 야근과 업무 압박에 지쳐서 화가 치밀어 올라.,Anger
너와 함께라면 뭐든지 할 수 있을 것 같은 용기가 생겨.,Love
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
선배와(과) 함께한 산책은(는) 아주 멋진 경험이었어.,Happiness
오늘따라 너무 외롭고 우울한 기분이 들어.,Sadness
연인의 무책임한 태도 때문에 정말 화가 나.,Anger
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
오늘 파스타 먹었는데 진짜 맛있어서 행복했다.,Happiness
너와 함께라면 뭐든지 할 수 있을 것 같은 용기가 생겨.,Love
계속되는 야근과 업무 압박에 지쳐서 화가 치밀어 올라.,Anger
연인의 무책임한 태도 때문에 정말 화가 나.,Anger
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
함께 영화 감상을(를) 즐기는 시간이 정말 소중하고 사랑스러워.,Love
열심히 준비한 발표 준비가 잘 안돼서 너무 속상해.,Sadness
오늘 파스타 먹었는데 진짜 맛있어서 행복했다.,Happiness
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
회사에서 어이없는 일을 당해서 기분이 나빠.,Anger
믿었던 후배에게 실망해서 마음이 아프다.,Sadness
아무리 노력해도 안 되는 것 같아서 자존감이 떨어져.,Sadness
하루 종일 발표 준비에 시달렸더니 스트레스가 폭발할 지경이야.,Anger
아무리 노력해도 안 되는 것 같아서 자존감이 떨어져.,Sadness
아무리 노력해도 안 되는 것 같아서 자존감이 떨어져.,Sadness
하루 종일 발표 준비에 시달렸더니 스트레스가 폭발할 지경이야.,Anger
선배와(과) 함께한 산책은(는) 아주 멋진 경험이었어.,Happiness
오늘따라 너무 외롭고 우울한 기분이 들어.,Sadness
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
선배와(과) 함께한 산책은(는) 아주 멋진 경험이었어.,Happiness
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
너와 함께라면 뭐든지 할 수 있을 것 같은 용기가 생겨.,Love
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
오늘 파스타 먹었는데 진짜 맛있어서 행복했다.,Happiness
이번에 새로 시작한 일이 잘 풀려서 너무 기쁘다.,Happiness
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
오늘따라 너무 외롭고 우울한 기분이 들어.,Sadness
날씨 좋은 날 카페에서 요리을(를) 하니 스트레스가 풀린다.,Happiness
왜 나한테만 이런 일이 생기는지 모르겠어. 너무 억울해.,Anger
오랜만에 만난 친구랑 수다 떠니 시간 가는 줄 몰랐네. 정말 즐거웠어.,Happiness
생각지도 못한 선물을 받아서 하루 종일 기분이 좋았어.,Happiness
네가 웃는 모습을 보면 나도 따라서 행복해져.,Love
하루 종일 발표 준비에 시달렸더니 스트레스가 폭발할 지경이야.,Anger
계속되는 야근과 업무 압박에 지쳐서 화가 치밀어 올라.,Anger
오늘 파스타 먹었는데 진짜 맛있어서 행복했다.,Happiness
드디어 보고서 작성를 끝내서 기분이 날아갈 것 같아!,Happiness
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
네가 웃는 모습을 보면 나도 따라서 행복해져.,Love
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
왜 나한테만 이런 일이 생기는지 모르겠어. 너무 억울해.,Anger
계속되는 야근과 업무 압박에 지쳐서 화가 치밀어 올라.,Anger
회사에서 어이없는 일을 당해서 기분이 나빠.,Anger
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
열심히 준비한 발표 준비가 잘 안돼서 너무 속상해.,Sadness
선배와(과) 함께한 산책은(는) 아주 멋진 경험이었어.,Happiness
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
오늘 파스타 먹었는데 진짜 맛있어서 행복했다.,Happiness
오랜만에 만난 친구랑 수다 떠니 시간 가는 줄 몰랐네. 정말 즐거웠어.,Happiness
오늘따라 너무 외롭고 우울한 기분이 들어.,Sadness
계속되는 야근과 업무 압박에 지쳐서 화가 치밀어 올라.,Anger
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
왜 나한테만 이런 일이 생기는지 모르겠어. 너무 억울해.,Anger
힘들 때 내 곁을 지켜주는 후배가(이) 있어서 든든해.,Love
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
너와 함께라면 뭐든지 할 수 있을 것 같은 용기가 생겨.,Love
우리 강아지는 보고만 있어도 사랑이 넘쳐.,Love
날씨 좋은 날 카페에서 요리을(를) 하니 스트레스가 풀린다.,Happiness
이번에 새로 시작한 일이 잘 풀려서 너무 기쁘다.,Happiness
몸이 안 좋아서 그런지 계속 눈물이 날 것 같아.,Sadness
아무리 노력해도 안 되는 것 같아서 자존감이 떨어져.,Sadness
이번에 새로 시작한 일이 잘 풀려서 너무 기쁘다.,Happiness
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
계속되는 야근과 업무 압박에 지쳐서 화가 치밀어 올라.,Anger
왜 나한테만 이런 일이 생기는지 모르겠어. 너무 억울해.,Anger
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
회사에서 어이없는 일을 당해서 기분이 나빠.,Anger
친구가(이) 나를 위해 해준 작은 배려에 감동받았어.,Love
연인의 무책임한 태도 때문에 정말 화가 나.,Anger
연인의 무책임한 태도 때문에 정말 화가 나.,Anger
내 의견이 계속 무시당하는 것 같아서 짜증나.,Anger
네가 웃는 모습을 보면 나도 따라서 행복해져.,Love
소중했던 물건을 잃어버려서 너무 슬퍼.,Sadness
기대했던 약속이 취소돼서 하루 종일 무기력했어.,Sadness
이번에 새로 시작한 일이 잘 풀려서 너무 기쁘다.,Happiness
오랜만에 만난 친구랑 수다 떠니 시간 가는 줄 몰랐네. 정말 즐거웠어.,Happiness
따뜻한 말 한마디에 모든 서운함이 녹아내리는 기분이야.,Love
하루 종일 발표 준비에 시달렸더니 스트레스가 폭발할 지경이야.,Anger
오랜만에 만난 친구랑 수다 떠니 시간 가는 줄 몰랐네. 정말 즐거웠어.,Happiness
